Country,W,D,L,Goals For,Goals Against
Germany,13,12,12,76,68
Hungary,12,12,13,68,76
Scotland,8,5,4,26,23
Switzerland,36,8,9,142,69
Spain,26,12,11,99,61
Croatia,6,7,7,22,31
Italy,15,21,12,63,56
Albania,1,0,2,5,14
Slovenia,1,8,5,18,37
Denmark,12,6,4,41,61
Serbia,10,8,6,61,58
England,24,11,11,100,79
Poland,7,14,21,56,75
Netherlands,28,11,15,123,107
Austria,18,9,13,82,95
France,37,12,17,122,78
Belgium,13,6,9,54,62
Slovakia,25,18,13,131,145
Romania,17,14,14,84,104
Ukraine,6,3,7,33,39
Türkiye,11,4,14,46,69
Georgia,4,1,8,17,32
Portugal,15,3,6,48,15
Czechia,16,8,16,75,68
